barangay,year,month,ndvi_mean,ndvi_std,evi_mean,evi_std,ndwi_mean,ndwi_std,s2_valid_px,vv_mean,vv_std,vh_mean,vh_std,s1_valid_px
Aplaya,2020,1,0.3943459924447089,0.35208120511769575,0.2820604943045702,0.24354850222036797,-0.39209034836400497,0.31070054780595036,1387,-4.165159482229976,3.7709429307360356,-12.158662970845361,3.4519835635325307,1384
Aplaya,2020,2,0.40258290389014784,0.2773457149129985,0.3051952066881211,0.24737702393641403,-0.4114092980063619,0.21796045546528567,1387,-4.391354124994435,3.999544797516869,-12.536982734554012,3.42292783188873,1387
Aplaya,2020,3,0.38384246040213166,0.2892046773858079,0.29619401959286445,0.2490452002134578,-0.39698085143105327,0.23195911041805398,1387,-4.220006222220945,4.054726672154336,-12.29138265033377,3.2606110750893733,1387
Aplaya,2020,4,0.36185622021255287,0.2634918124397793,0.29110418232383795,0.24408012101202103,-0.3710240594036433,0.2096798759512765,1387,-4.264172780146711,4.01018505495842,-12.378773057576812,3.156023568763857,1387
Aplaya,2020,5,0.4111779192690651,0.3168502542990566,0.3248645776730581,0.2642952884435273,-0.40705764270454736,0.24916997796110443,1387,-3.790078689079,3.7246031051934936,-11.802888002474903,2.921609147729963,1387
Aplaya,2020,6,-0.08968418091535568,0.11670026928186417,-0.22935226187109947,0.2928601838648319,0.057985986582934856,0.06783575285226107,2,-3.9318004149914074,3.7713859175954094,-12.02627040193333,2.940498280080319,1387
Aplaya,2020,7,0.4226237242856663,0.30944302002148677,0.3519855167943524,0.2767337948645792,-0.4077977713703757,0.23937893370650437,1387,-5.324145747890277,2.5841259223380177,-10.670657088194472,3.0148659307459296,1387
Aplaya,2020,8,0.4027890085852245,0.2836532746244925,0.3422585092650835,0.25479772448422716,-0.3819084701340153,0.22674508491945178,1165,-3.650676969492089,3.818991009961779,-11.784881122619788,3.04032532961956,1387
Aplaya,2020,9,0.43051961678973,0.3315634693771842,0.35882341526273337,0.2851021669625256,-0.4188503589342288,0.26163124628713724,1387,-6.108410409788768,3.079240581466832,-11.130405466089757,3.3437148470997577,1386
Aplaya,2020,10,0.27977560196025847,0.28801132770075344,0.23493992356804438,0.21311548068513061,-0.2717203948293852,0.2566407644072402,979,-2.7621583696303658,4.160492371138758,-11.282116524912773,3.3096533839855122,1387
Aplaya,2020,11,,,,,,,0,-3.913829882388162,4.656315748617635,-12.722463751464222,4.194747786295285,1387
Aplaya,2020,12,0.2808038061541766,0.33870957669265445,0.1851832319964577,0.1977019353070506,-0.28589176458953575,0.3148163002814098,1387,-4.281238227216138,4.866664789896695,-12.820467048011077,4.326273159697097,1387
Aplaya,2021,1,0.2731373454795832,0.27217419066695014,0.18652919665753814,0.18087484206720722,-0.2805599202530041,0.25682029502312304,1036,-4.389038300441501,4.576061007385703,-13.18025124786392,4.6044293631502615,1387
Aplaya,2021,2,0.34862685209066624,0.2575336041504886,0.2358755807766389,0.19892170579603236,-0.34631285834736913,0.22164057588967828,1387,-4.472361017283969,5.82668562305237,-12.949188779007452,4.769122494774747,1386
Aplaya,2021,3,,,,,,,0,-4.474076205905533,4.526023595941913,-13.21691606902286,4.408617911133313,1386
Aplaya,2021,4,0.16987883006222546,0.13464303465321842,-0.1597799509763718,0.5464701907786822,-0.08783700987696648,0.08162389846960498,5,-4.313260952597361,4.379340182053037,-12.654078201470082,3.8256508565384224,1386
Aplaya,2021,5,0.34043872370011946,0.2760115158172573,0.27169016293463555,0.23270293208875029,-0.35878186815469726,0.22655060861693774,1387,-4.455653106937129,4.374446300672901,-12.718003098278846,3.512853260151649,1387
Aplaya,2021,6,0.34695183297736154,0.26509551340886633,0.34426868815341355,0.28619180119248255,-0.3187008305427916,0.22103202167748146,1387,-4.240993017671435,4.346270311465293,-12.516227286486405,3.665810493027098,1386
Aplaya,2021,7,0.2407035380601883,0.05364154279232025,0.15422280132770538,0.04900752007961273,-0.14830410107970238,0.023687142878770828,2,-3.311406295826387,4.41701128450667,-11.943357198259433,3.8772853751687815,1387
